id	data_name_jp	data_name_en	data_name_sys	data_name_local	data_abbr_jp	data_group_type


1	製作所	Factory	__FACTORY__			1
2	製作所ID	FactoryID	FACTORY_ID			2
3	製作所名	FactoryName	FACTORY_NAME			3
4	製作所名(略称)	FactoryAbbr	FACTORY_ABBR			4
5	工場ID	PlantID	PLANT_ID			5
6	工場	Plant	__PLANT__			6
7	工場名	PlantName	PLANT_NAME			7
8	工場名(略称)	PlantAbbr	PLANT_ABBR			8
9	製品群	ProdFamily	__PROD_FAMILY__			9
10	製品群ID	ProdFamilyId	PROD_FAMILY_ID			10
11	製品群名	ProdFamilyName	PROD_FAMILY_NAME			11
12	製品群名(略称)	ProdFamilyAbbr	PROD_FAMILY_ABBR			12
13	ライン	Line	__LINE__			13
14	ラインID	LineID	LINE_ID			14
15	ライン名	LineName	LINE_NAME			15
16	ラインNo	LineNo	LINE_NO			16
17	外注先	Outsource	OUTSOURCE			17
18	製造部	Dept	__DEPT__			18
19	製造部ID	DeptID	DEPT_ID			19
20	製造部名	DeptName	DEPT_NAME			20
21	製造部名(略称)	DeptAbbr	DEPT_ABBR			21
22	室/課	Sect	__SECT__			22
23	室/課ID	SectId	SECT_ID			23
24	室/課名	SectName	SECT_NAME			24
25	室/課名(略称)	SectAbbr	SECT_ABBR			25
26	製品No	ProdID	PROD_ID			26
27	製品	Product	__PRODUCT__			27
28	製品名	ProdName	PROD_NAME			28
29	製品名(略称)	ProdAbbr	PROD_ABBR			29
30	品種	PartType	__PART_TYPE__			30
31	品種	PartType	PART_TYPE			31
32	品名	PartName	PART_NAME			32
33	品名(略称)	PartAbbr	PART_ABBR			33
34	品番	PartNo	__PART_NO__			34
35	品番(Full)	PartNoFull	PART_NO_FULL			35
36	品番(Short)	PartNo	PART_NO			36
37	設備	Equip	__EQUIP__			37
38	設備ID	EquipID	EQUIP_ID			38
39	設備名	EquipName	EQUIP_NAME			39
40	製造番号	EquipProductNo	EQUIP_PRODUCT_NO			40
41	製造日	EquipProductDate	EQUIP_PRODUCT_DATE			41
42	ステーション	Station	__STATION__			42
43	ステーションNo	StationNo	STATION_NO			43
44	設備No	EquipNo	EQUIP_NO			44
45	工程	Process	__PROCESS__			45
46	工程ID	ProcessID	PROCESS_ID			46
47	工程名	ProcessName	PROCESS_NAME			47
48	工程名(略称)	ProcessAbbr	PROCESS_ABBR			48
49	データID	DataID	DATA_ID			49
50	データ名	DataName	DATA_NAME			50
51	データ名(略称)	DataAbbr	DATA_ABBR			51
52	データ値	DataValue	DATA_VALUE			52
53	単位	Unit	UNIT			53
54	場所名	LocationName	LOCATION_NAME			54
55	場所名(略称)	LocationAbbr	LOCATION_ABBR			55
56	日時	Datetime	DATA_TIME			56
57	シリアル	Serial	DATA_SERIAL			57
58	判定	Judge	JUDGE			99
59	ロットNo	LotNo	LOTNO			99
60	キャリアNo	CarrierNo	CARRIERNO			99
61	トレイNo	TrayNo	TRAY_NO			99
62	子部品品番	SubPartNo	SUB_PART_NO			62
63	子部品シリアルNo	SubSerial	SUB_SERIAL			63
64	子部品ロットNo	SubLotNo	SUB_LOT_NO			64
65	子部品トレイNo	SubTrayNo	SUB_TRAY_NO			65
66	Order	Order	AUTO_INCREMENTAL			66
67	横方向のデータ	HorizontalData	HORIZONTAL_DATA	note: for horizontal sensor columns		67
68	OK	OK	OK			99
69	NG	NG	NG			99
70	データソース名	DataSourceName	DataSourceName			98
