data_group_name,data_group_type,pattern_regex,example
FACTORY_ID,2,.*(factory|製作所|ファクトリ|ﾌｧｸﾄﾘ).*(id).*,
FACTORY_NAME,3,.*(factory|製作所|ファクトリ|ﾌｧｸﾄﾘ).*(name|名).*,
FACTORY_ABBR,4,.*(factory|製作所|ファクトリ|ﾌｧｸﾄﾘ).*(abbr|略名|略称).*,
PLANT_ID,5,.*(plant|工場|プラント|ﾌﾟﾗﾝﾄ).*(id).*,
PLANT_NAME,7,.*(plant|工場|プラント|ﾌﾟﾗﾝﾄ).*(name|名).*,
PLANT_ABBR,8,.*(plant|工場|プラント|ﾌﾟﾗﾝﾄ).*(abbr|略名|略称).*,
PROD_FAMILY_ID,10,.*(prod).*(family).*(id).*|.*(製品群).*(id).*,
PROD_FAMILY_NAME,11,.*(prod).*(family).*(name).*|.*(製品群).*(名).*,
PROD_FAMILY_ABBR,12,.*(prod).*(family).*(abbr).*|.*(製品群).*(略名|略称).*,
LINE_ID,14,.*(line|ライン|ﾗｲﾝ).*(id).*,Line_ID1
LINE_NAME,15,.*(line|ライン|ﾗｲﾝ).*(name|名).*,
LINE_NO,16,.*(line|ライン|ﾗｲﾝ).*(no|number|#|番号).*,
OUTSOURCE,17,.*(outsource).*|.*(外注).*,
DEPT_ID,19,.*(dept|部).*(id).*,
DEPT_NAME,20,.*(dept|部).*(name|名).*,
DEPT_ABBR,21,.*(dept|部).*(abbr|略名|略称).*,
SECT_ID,23,.*(sect|室|課).*(id).*,
SECT_NAME,24,.*(sect|室|課).*(name|名).*,
SECT_ABBR,25,.*(sect|室|課).*(abbr|略名|略称).*,
PROD_ID,26,.*(prod|製品).*(id).*,
PROD_NAME,28,.*(prod|製品).*(name|名).*,
PROD_ABBR,29,.*(prod|製品).*(abbr|略名|略称).*,
PART_TYPE,31,.*(part).*(type).*,
PART_NAME,32,.*(part).*(name).*|.*(品名).*,
PART_ABBR,33,.*(part).*(abbr).*,
PART_NO_FULL,35,.*(part).*(no|number|#|ID).*|^(品番).*,
PART_NO,36,.*(part).*(no|number|#|ID).*|^(品番).*,Part#
EQUIP_ID,38,.*(equip|machine|設備|機).*(id).*,子設備_id|加工機ID
EQUIP_NAME,39,.*(equip|machine|設備|機).*(name|名).*,
EQUIP_PRODUCT_NO,40,.*(equip).*(product).*(no|number|#).*|.*(設備).*(製造no|製造番号).*,
EQUIP_PRODUCT_DATE,41,.*(equip).*(product).*(date).*|.*(設備).*(製造日).*,
STATION_NO,43,.*(station|ステーション|ｽﾃｰｼｮﾝ).*(no|number|#|番号).*,
EQUIP_NO,44,.*(equip|machine|設備|機).*(no|number|#).*,
PROCESS_ID,46,.*(process|プロセス|ﾌﾟﾛｾｽ|工程).*(id).*,プロセス_id
PROCESS_NAME,47,.*(process|プロセス|ﾌﾟﾛｾｽ|工程).*(name|名).*,
PROCESS_ABBR,48,.*(process|プロセス|ﾌﾟﾛｾｽ|工程).*(abbr|略名|略称).*,
DATA_ID,49,.*(data|sensor|column|variable|カラム|ｶﾗﾑ|列).*(id).*,
DATA_NAME,50,.*(data|データ|ﾃﾞｰﾀ).*(name|名).*,
DATA_ABBR,51,.*(data|データ|ﾃﾞｰﾀ).*(abbr|略名|略称).*,
DATA_VALUE,52,.*(data|データ|ﾃﾞｰﾀ).*(value|値).*,
UNIT,53,.*(unit|単位).*,
LOCATION_NAME,54,.*(location).*(name).*|.*拠点名.*,
LOCATION_ABBR,55,.*(location).*(abbr).*,
DATA_TIME,56,.*(GET).*(DATE).*|(DATE).*(TIME).*|(登録|計測|測定|加工).*(日時).*,date&time
DATA_SERIAL,57,.*(serial).*|.*(シリアル).*,
SUB_PART_NO,62,.*(sub).*(part).*(no|number|#|ID).*,
SUB_SERIAL,63,.*(sub).*(serial).*|.*(サブ|ｻﾌﾞ).*(シリアル|ｼﾘｱﾙ).*,
SUB_LOT_NO,64,.*(sub).*(lot).*(no|number|#|ID).*,
SUB_TRAY_NO,65,.*(sub).*(tray).*(no|number|#|ID).*,
AUTO_INCREMENTAL,66,.*(auto).*(increment).*,
